episode,cum_rewards
1,0
2,1
3,-1
4,0
5,0
6,-50
7,4
8,-2
9,-19
10,-46
11,-12
12,-2
13,0
14,-1
15,1
16,4
17,-8
18,28
19,-9
20,-3
21,2
22,-1
23,19
24,26
25,31
26,14
27,12
28,25
29,37
30,7
31,-7
32,10
33,21
34,1
35,2
36,-2
37,-5
38,9
39,4
40,19
41,57
42,13
43,41
44,37
45,43
46,45
47,47
48,36
49,30
50,37
51,35
52,42
53,52
54,36
55,61
56,43
57,12
58,31
59,35
60,44
61,56
62,46
63,34
64,23
65,46
66,42
67,40
68,48
69,47
70,47
71,50
72,22
73,35
74,53
75,49
76,38
77,50
78,46
79,41
80,30
81,43
82,43
83,48
84,34
85,40
86,23
87,45
88,58
89,39
90,34
91,45
92,33
93,17
94,18
95,18
96,27
97,36
98,37
99,14
100,32
101,28
102,6
103,32
104,21
105,17
106,28
107,27
108,32
109,39
110,24
111,32
112,35
113,24
114,22
115,24
116,35
117,36
118,21
119,35
120,45
121,31
122,42
123,37
124,26
125,28
126,33
127,24
128,33
129,14
130,27
131,22
132,28
133,38
134,22
135,18
136,33
137,34
138,32
139,28
140,28
141,26
142,36
143,37
144,34
145,24
146,18
147,22
148,27
149,28
150,21
151,33
152,29
153,22
154,39
155,27
156,38
157,47
158,38
159,42
160,15
161,31
162,45
163,35
164,38
165,43
166,35
167,53
168,41
169,46
170,39
171,41
172,40
173,30
174,47
175,48
176,48
177,33
178,50
179,38
180,48
181,40
182,36
183,29
184,36
185,28
186,29
187,48
188,24
189,4
190,19
191,33
192,48
193,38
194,28
195,44
196,58
197,32
198,33
199,44
200,43
201,44
202,41
203,36
204,41
205,36
206,44
207,40
208,41
209,39
210,30
211,33
212,38
213,40
214,45
215,43
216,44
217,48
218,40
219,49
220,41
221,42
222,45
223,41
224,42
225,45
226,42
227,42
228,49
229,49
230,43
231,31
232,39
233,43
234,35
235,43
236,47
237,42
238,38
239,41
240,45
241,44
242,44
243,45
244,43
245,37
246,40
247,37
248,45
249,43
250,30
251,43
252,44
253,43
254,43
255,40
256,60
257,39
258,39
259,49
260,38
261,43
262,41
263,46
264,41
265,43
266,58
267,49
268,49
269,48
270,51
271,44
272,48
273,47
274,52
275,55
276,42
277,41
278,49
279,50
280,50
281,41
282,43
283,50
284,46
285,56
286,39
287,40
288,40
289,48
290,40
291,55
292,50
293,38
294,39
295,36
296,45
297,55
298,56
299,43
300,49
301,41
302,36
303,46
304,48
305,45
306,42
307,44
308,46
309,66
310,53
311,44
312,43
313,33
314,51
315,53
316,36
317,43
318,42
319,31
320,51
321,58
322,41
323,49
324,45
325,43
326,46
327,56
328,44
329,41
330,40
331,57
332,50
333,40
334,46
335,50
336,39
337,46
338,49
339,57
340,50
341,39
342,52
343,43
344,44
345,39
346,49
347,41
348,45
349,38
350,45
351,52
352,49
353,48
354,43
355,45
356,45
357,51
358,45
359,41
360,42
361,63
362,47
363,38
364,44
365,53
366,44
367,39
368,54
369,54
370,40
371,55
372,59
373,44
374,47
375,44
376,57
377,50
378,42
379,51
380,44
381,53
382,53
383,47
384,47
385,50
386,51
387,47
388,52
389,39
390,48
391,44
392,40
393,38
394,55
395,41
396,32
397,54
398,44
399,49
400,65
401,46
402,40
403,42
404,39
405,56
406,35
407,51
408,48
409,56
410,44
411,46
412,32
413,43
414,44
